"dataelementUID","period","orgUnitUID","categoryOptionComboUID","ImplementingMechanismUID","dataValue",,
"bhZUgdZZHMq","2017","E0sp9SbtPJo","Gm6B7Z9Tbxs","AvKGVOKhI0t","3",,
"bhZUgdZZHMq","2017","E0sp9SbtPJo","xP7pDf7Dsya","AvKGVOKhI0t","39",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","cYxMZbJKie1","AvKGVOKhI0t","16",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","KLEhX0pJjLD","AvKGVOKhI0t","14",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","p9ngKMI1HlP","AvKGVOKhI0t","10",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","ICQVBpakGjE","AvKGVOKhI0t","6",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","LXuJtbiUk7o","AvKGVOKhI0t","32",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","R54ocOMuaZA","AvKGVOKhI0t","6",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","CuAKN91lKD6","AvKGVOKhI0t","305",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","MEQrzTnlr9a","AvKGVOKhI0t","139",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","VVHFpTkvtp2","AvKGVOKhI0t","305",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","FtKeuScH4zG","AvKGVOKhI0t","139",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","BXVSBShabAV","AvKGVOKhI0t","305",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","fKutkl1woOh","AvKGVOKhI0t","139",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","wzERTiClETp","AvKGVOKhI0t","305",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","VJLbRW6R553","AvKGVOKhI0t","139",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","GWDE9M05Fyf","AvKGVOKhI0t","56",,
"JxBTk0UYjjf","2017","E0sp9SbtPJo","yboc4U6mh3p","AvKGVOKhI0t","49",,
"bhZUgdZZHMq","2017","p88Dp0k1GH3","Gm6B7Z9Tbxs","NbvMUkJmS5N","1",,
"bhZUgdZZHMq","2017","p88Dp0k1GH3","xP7pDf7Dsya","NbvMUkJmS5N","15",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","cYxMZbJKie1","NbvMUkJmS5N","6",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","KLEhX0pJjLD","NbvMUkJmS5N","6",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","p9ngKMI1HlP","NbvMUkJmS5N","3",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","ICQVBpakGjE","NbvMUkJmS5N","2",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","LXuJtbiUk7o","NbvMUkJmS5N","10",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","R54ocOMuaZA","NbvMUkJmS5N","2",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","CuAKN91lKD6","NbvMUkJmS5N","97",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","MEQrzTnlr9a","NbvMUkJmS5N","44",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","VVHFpTkvtp2","NbvMUkJmS5N","97",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","FtKeuScH4zG","NbvMUkJmS5N","44",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","BXVSBShabAV","NbvMUkJmS5N","97",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","fKutkl1woOh","NbvMUkJmS5N","44",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","wzERTiClETp","NbvMUkJmS5N","97",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","VJLbRW6R553","NbvMUkJmS5N","44",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","GWDE9M05Fyf","NbvMUkJmS5N","18",,
"JxBTk0UYjjf","2017","p88Dp0k1GH3","yboc4U6mh3p","NbvMUkJmS5N","16",,
"bhZUgdZZHMq","2017","dzlUVt1ajq1","Gm6B7Z9Tbxs","ynuaDsLQ9eU","2",,
"bhZUgdZZHMq","2017","dzlUVt1ajq1","xP7pDf7Dsya","ynuaDsLQ9eU","23",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","cYxMZbJKie1","ynuaDsLQ9eU","10",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","KLEhX0pJjLD","ynuaDsLQ9eU","9",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","p9ngKMI1HlP","ynuaDsLQ9eU","11",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","ICQVBpakGjE","ynuaDsLQ9eU","6",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","LXuJtbiUk7o","ynuaDsLQ9eU","33",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","R54ocOMuaZA","ynuaDsLQ9eU","6",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","CuAKN91lKD6","ynuaDsLQ9eU","313",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","MEQrzTnlr9a","ynuaDsLQ9eU","143",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","VVHFpTkvtp2","ynuaDsLQ9eU","313",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","FtKeuScH4zG","ynuaDsLQ9eU","143",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","BXVSBShabAV","ynuaDsLQ9eU","313",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","fKutkl1woOh","ynuaDsLQ9eU","143",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","wzERTiClETp","ynuaDsLQ9eU","313",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","VJLbRW6R553","ynuaDsLQ9eU","143",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","GWDE9M05Fyf","ynuaDsLQ9eU","57",,
"JxBTk0UYjjf","2017","dzlUVt1ajq1","yboc4U6mh3p","ynuaDsLQ9eU","48",,
"bhZUgdZZHMq","2017","lfs5qignpT4","Gm6B7Z9Tbxs","AvKGVOKhI0t","1",,
"bhZUgdZZHMq","2017","lfs5qignpT4","xP7pDf7Dsya","AvKGVOKhI0t","17",,
"JxBTk0UYjjf","2017","lfs5qignpT4","cYxMZbJKie1","AvKGVOKhI0t","7",,
"JxBTk0UYjjf","2017","lfs5qignpT4","KLEhX0pJjLD","AvKGVOKhI0t","6",,
"JxBTk0UYjjf","2017","lfs5qignpT4","p9ngKMI1HlP","AvKGVOKhI0t","6",,
"JxBTk0UYjjf","2017","lfs5qignpT4","ICQVBpakGjE","AvKGVOKhI0t","3",,
"JxBTk0UYjjf","2017","lfs5qignpT4","LXuJtbiUk7o","AvKGVOKhI0t","20",,
"JxBTk0UYjjf","2017","lfs5qignpT4","R54ocOMuaZA","AvKGVOKhI0t","4",,
"JxBTk0UYjjf","2017","lfs5qignpT4","CuAKN91lKD6","AvKGVOKhI0t","187",,
"JxBTk0UYjjf","2017","lfs5qignpT4","MEQrzTnlr9a","AvKGVOKhI0t","85",,
"JxBTk0UYjjf","2017","lfs5qignpT4","VVHFpTkvtp2","AvKGVOKhI0t","187",,
"JxBTk0UYjjf","2017","lfs5qignpT4","FtKeuScH4zG","AvKGVOKhI0t","85",,
"JxBTk0UYjjf","2017","lfs5qignpT4","BXVSBShabAV","AvKGVOKhI0t","187",,
"JxBTk0UYjjf","2017","lfs5qignpT4","fKutkl1woOh","AvKGVOKhI0t","85",,
"JxBTk0UYjjf","2017","lfs5qignpT4","wzERTiClETp","AvKGVOKhI0t","187",,
