"dataelementUID","period","orgUnitUID","categoryOptionComboUID","ImplementingMechanismUID","dataValue",,
"Z5kOeISUYMI","2017","jetCZf5Uzd1","Gm6B7Z9Tbxs","qnsg6xXzdLG","0",,
"Z5kOeISUYMI","2017","jetCZf5Uzd1","xP7pDf7Dsya","qnsg6xXzdLG","9",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","cYxMZbJKie1","qnsg6xXzdLG","3",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","KLEhX0pJjLD","qnsg6xXzdLG","2",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","p9ngKMI1HlP","qnsg6xXzdLG","4",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","ICQVBpakGjE","qnsg6xXzdLG","2",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","LXuJtbiUk7o","qnsg6xXzdLG","14",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","R54ocOMuaZA","qnsg6xXzdLG","8",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","CuAKN91lKD6","qnsg6xXzdLG","158",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","MEQrzTnlr9a","qnsg6xXzdLG","85",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","VVHFpTkvtp2","qnsg6xXzdLG","158",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","FtKeuScH4zG","qnsg6xXzdLG","85",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","BXVSBShabAV","qnsg6xXzdLG","158",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","fKutkl1woOh","qnsg6xXzdLG","85",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","wzERTiClETp","qnsg6xXzdLG","158",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","VJLbRW6R553","qnsg6xXzdLG","85",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","GWDE9M05Fyf","qnsg6xXzdLG","29",,
"L9y9A4uG3rY","2017","jetCZf5Uzd1","yboc4U6mh3p","qnsg6xXzdLG","16",,
"Z5kOeISUYMI","2017","UUGPLYILmO2","Gm6B7Z9Tbxs","qnsg6xXzdLG","0",,
"Z5kOeISUYMI","2017","UUGPLYILmO2","xP7pDf7Dsya","qnsg6xXzdLG","2",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","cYxMZbJKie1","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","KLEhX0pJjLD","qnsg6xXzdLG","0",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","p9ngKMI1HlP","qnsg6xXzdLG","3",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","ICQVBpakGjE","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","LXuJtbiUk7o","qnsg6xXzdLG","10",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","R54ocOMuaZA","qnsg6xXzdLG","5",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","CuAKN91lKD6","qnsg6xXzdLG","105",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","MEQrzTnlr9a","qnsg6xXzdLG","57",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","VVHFpTkvtp2","qnsg6xXzdLG","105",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","FtKeuScH4zG","qnsg6xXzdLG","57",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","BXVSBShabAV","qnsg6xXzdLG","105",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","fKutkl1woOh","qnsg6xXzdLG","57",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","wzERTiClETp","qnsg6xXzdLG","105",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","VJLbRW6R553","qnsg6xXzdLG","57",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","GWDE9M05Fyf","qnsg6xXzdLG","19",,
"L9y9A4uG3rY","2017","UUGPLYILmO2","yboc4U6mh3p","qnsg6xXzdLG","10",,
"Z5kOeISUYMI","2017","E7Y4bV5AjJV","Gm6B7Z9Tbxs","qnsg6xXzdLG","0",,
"Z5kOeISUYMI","2017","E7Y4bV5AjJV","xP7pDf7Dsya","qnsg6xXzdLG","8",,
"L9y9A4uG3rY","2017","E7Y4bV5AjJV","cYxMZbJKie1","qnsg6xXzdLG","3",,
"L9y9A4uG3rY","2017","E7Y4bV5AjJV","KLEhX0pJjLD","qnsg6xXzdLG","1",,
"L9y9A4uG3rY","2017","E7Y4bV5AjJV","p9ngKMI1HlP","qnsg6xXzdLG","8",,
"L9y9A4uG3rY","2017","E7Y4bV5AjJV","ICQVBpakGjE","qnsg6xXzdLG","4",,
"L9y9A4uG3rY","2017","E7Y4bV5AjJV","LXuJtbiUk7o","qnsg6xXzdLG","27",,
"L9y9A4uG3rY","2017","E7Y4bV5AjJV","R54ocOMuaZA","qnsg6xXzdLG","15",,
"L9y9A4uG3rY","2017","E7Y4bV5AjJV","CuAKN91lKD6","qnsg6xXzdLG","303",,
"L9y9A4uG3rY","2017","E7Y4bV5AjJV","MEQrzTnlr9a","qnsg6xXzdLG","163",,
"L9y9A4uG3rY","2017","E7Y4bV5AjJV","VVHFpTkvtp2","qnsg6xXzdLG","303",,
