"htpB5GROwfG","OPD_Number of clients seen (Workload)","201801","Anding'o Opanga Dispensary","13477","HllvX50cXC0","YHx6ZCdJgEN","388"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","mD7SZMOtrkk","YHx6ZCdJgEN","17"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","uY1fB2YA19R","YHx6ZCdJgEN","98"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","svOcUqAMxim","YHx6ZCdJgEN","47"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","AGPBuVYe3qA","YHx6ZCdJgEN","42"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","SPM3RiNMsMh","YHx6ZCdJgEN","34"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","cz10IugYD2H","YHx6ZCdJgEN","39"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","DlGJGjqn3vQ","YHx6ZCdJgEN","10"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","p5U4c0oDykp","YHx6ZCdJgEN","9"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","lSfyYI23Mi2","YHx6ZCdJgEN","11"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","f6fvG5QVbbN","YHx6ZCdJgEN","4"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","KyGJ12KGrR0","YHx6ZCdJgEN","10"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","xgNjuPfeV7w","YHx6ZCdJgEN","3"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","uk3UJajsR19","YHx6ZCdJgEN","6"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","jhGUfzgl3Ij","YHx6ZCdJgEN","3"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","cTba1qCbXQw","YHx6ZCdJgEN","6"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","hVjYPd3tjeN","YHx6ZCdJgEN","6"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","gu78UI1N1Zg","YHx6ZCdJgEN","21"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","jfy44DhDKKg","YHx6ZCdJgEN","11"
"zyR33C9Z6Hy","OPD_Number of Clients(Known Positives)","201801","Anding'o Opanga Dispensary","13477","uY1fB2YA19R","YHx6ZCdJgEN","3"
"zyR33C9Z6Hy","OPD_Number of Clients(Known Positives)","201801","Anding'o Opanga Dispensary","13477","svOcUqAMxim","YHx6ZCdJgEN","1"
"zyR33C9Z6Hy","OPD_Number of Clients(Known Positives)","201801","Anding'o Opanga Dispensary","13477","AGPBuVYe3qA","YHx6ZCdJgEN","1"
"zyR33C9Z6Hy","OPD_Number of Clients(Known Positives)","201801","Anding'o Opanga Dispensary","13477","KyGJ12KGrR0","YHx6ZCdJgEN","2"
"zyR33C9Z6Hy","OPD_Number of Clients(Known Positives)","201801","Anding'o Opanga Dispensary","13477","gu78UI1N1Zg","YHx6ZCdJgEN","2"
"zyR33C9Z6Hy","OPD_Number of Clients(Known Positives)","201801","Anding'o Opanga Dispensary","13477","jfy44DhDKKg","YHx6ZCdJgEN","2"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","uY1fB2YA19R","YHx6ZCdJgEN","85"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","svOcUqAMxim","YHx6ZCdJgEN","41"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","AGPBuVYe3qA","YHx6ZCdJgEN","41"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","SPM3RiNMsMh","YHx6ZCdJgEN","30"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","cz10IugYD2H","YHx6ZCdJgEN","39"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","DlGJGjqn3vQ","YHx6ZCdJgEN","10"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","p5U4c0oDykp","YHx6ZCdJgEN","9"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","lSfyYI23Mi2","YHx6ZCdJgEN","10"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","f6fvG5QVbbN","YHx6ZCdJgEN","3"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","KyGJ12KGrR0","YHx6ZCdJgEN","7"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","xgNjuPfeV7w","YHx6ZCdJgEN","3"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","uk3UJajsR19","YHx6ZCdJgEN","6"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","jhGUfzgl3Ij","YHx6ZCdJgEN","3"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","cTba1qCbXQw","YHx6ZCdJgEN","6"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","hVjYPd3tjeN","YHx6ZCdJgEN","6"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","gu78UI1N1Zg","YHx6ZCdJgEN","19"
"ZgBa0dhDIql","OPD_Number of Clients seen (Eligible for testing)","201801","Anding'o Opanga Dispensary","13477","jfy44DhDKKg","YHx6ZCdJgEN","8"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","uY1fB2YA19R","YHx6ZCdJgEN","81"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","svOcUqAMxim","YHx6ZCdJgEN","39"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","AGPBuVYe3qA","YHx6ZCdJgEN","38"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","SPM3RiNMsMh","YHx6ZCdJgEN","28"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","cz10IugYD2H","YHx6ZCdJgEN","37"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","DlGJGjqn3vQ","YHx6ZCdJgEN","10"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","p5U4c0oDykp","YHx6ZCdJgEN","9"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","lSfyYI23Mi2","YHx6ZCdJgEN","6"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","f6fvG5QVbbN","YHx6ZCdJgEN","3"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","KyGJ12KGrR0","YHx6ZCdJgEN","6"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","xgNjuPfeV7w","YHx6ZCdJgEN","3"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","uk3UJajsR19","YHx6ZCdJgEN","2"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","jhGUfzgl3Ij","YHx6ZCdJgEN","1"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","cTba1qCbXQw","YHx6ZCdJgEN","5"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","hVjYPd3tjeN","YHx6ZCdJgEN","6"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","gu78UI1N1Zg","YHx6ZCdJgEN","17"
"b8WXGGPv7i2","OPD_Number of eligible clients (tested)","201801","Anding'o Opanga Dispensary","13477","jfy44DhDKKg","YHx6ZCdJgEN","8"
"VHvDQElNCxS","OPD_Number of clients (tested positive)","201801","Anding'o Opanga Dispensary","13477","xgNjuPfeV7w","YHx6ZCdJgEN","1"
"VHvDQElNCxS","OPD_Number of clients (tested positive)","201801","Anding'o Opanga Dispensary","13477","hVjYPd3tjeN","YHx6ZCdJgEN","1"
"UxWm9PF7sPJ","OPD_Number of clients (tested positive linked to care)","201801","Anding'o Opanga Dispensary","13477","xgNjuPfeV7w","YHx6ZCdJgEN","1"
"UxWm9PF7sPJ","OPD_Number of clients (tested positive linked to care)","201801","Anding'o Opanga Dispensary","13477","hVjYPd3tjeN","YHx6ZCdJgEN","1"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","uY1fB2YA19R","YHx6ZCdJgEN","9"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","Utbw8yOqTsY","YHx6ZCdJgEN","3"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","ueHmuUUxJOZ","YHx6ZCdJgEN","48"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","bb1PBZBhMoe","YHx6ZCdJgEN","15"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","b1c2i6hvx46","YHx6ZCdJgEN","53"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","NZZnZYpzwvT","YHx6ZCdJgEN","15"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","QKFvxbzAaLO","YHx6ZCdJgEN","53"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","M0uZBPcdhOy","YHx6ZCdJgEN","10"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","AyEIsUBg0G9","YHx6ZCdJgEN","36"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","kKhCfsKeioo","YHx6ZCdJgEN","10"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","wkN42lA3zAD","YHx6ZCdJgEN","25"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","eTnRv18KF8x","YHx6ZCdJgEN","6"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","d2BSoconoUq","YHx6ZCdJgEN","30"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","jFjJ20bYPLu","YHx6ZCdJgEN","11"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","aMezFFnqzQu","YHx6ZCdJgEN","7"
"UakIjCKycNc","OPD_NPs_Number of Clients(Seen)","201801","Anding'o Opanga Dispensary","13477","d5z5iXf1SLb","YHx6ZCdJgEN","10"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","uY1fB2YA19R","YHx6ZCdJgEN","9"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","c4x8dMsNXjw","YHx6ZCdJgEN","3"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","DYaajf7oJIV","YHx6ZCdJgEN","48"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","ndPa2NLibPN","YHx6ZCdJgEN","15"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","wjj3WktnKDX","YHx6ZCdJgEN","53"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","YTDbzqoyYvd","YHx6ZCdJgEN","15"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","vpYSFauhHIk","YHx6ZCdJgEN","53"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","tw9kTsZ0JOP","YHx6ZCdJgEN","10"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","TE6uhnpjJQj","YHx6ZCdJgEN","36"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","mTARRvfG87a","YHx6ZCdJgEN","10"
"RmHyPQoEULr","OPD_Number of Clients(Screened)","201801","Anding'o Opanga Dispensary","13477","DCy4GyNkcV0","YHx6ZCdJgEN","25"
